value,amount,updated,fund_code
9.9999,124999162,2008-11-27,1AM-TG
10.0006,125007688,2008-11-28,1AM-TG
10.0053,125067278,2008-12-01,1AM-TG
10.006,127379725,2008-12-02,1AM-TG
10.0067,128026593,2008-12-03,1AM-TG
10.0069,151130373,2008-12-04,1AM-TG
10.0099,151400210,2008-12-08,1AM-TG
10.0105,151429904,2008-12-09,1AM-TG
10.0153,151676691,2008-12-11,1AM-TG
10.0166,151680394,2008-12-12,1AM-TG
10.0185,151960033,2008-12-15,1AM-TG
10.0228,150284511,2008-12-16,1AM-TG
10.0235,150616058,2008-12-17,1AM-TG
10.024,150417963,2008-12-18,1AM-TG
10.0246,150506645,2008-12-19,1AM-TG
10.0269,158106436,2008-12-23,1AM-TG
10.0274,163215529,2008-12-24,1AM-TG
10.0279,164213825,2008-12-25,1AM-TG
10.0299,167027031,2008-12-29,1AM-TG
10.0303,165842186,2008-12-30,1AM-TG
10.0333,166284408,2009-01-05,1AM-TG
10.0337,166424664,2009-01-06,1AM-TG
10.0342,166639112,2009-01-07,1AM-TG
10.0378,166749834,2009-01-08,1AM-TG
10.039,167207124,2009-01-09,1AM-TG
10.0404,167215705,2009-01-12,1AM-TG
10.0409,166921571,2009-01-13,1AM-TG
10.0436,166966695,2009-01-15,1AM-TG
10.0441,167559613,2009-01-16,1AM-TG
10.0455,169341074,2009-01-19,1AM-TG
10.0459,171478870,2009-01-20,1AM-TG
10.0483,171038694,2009-01-21,1AM-TG
10.0487,171825676,2009-01-22,1AM-TG
10.0517,174228841,2009-01-26,1AM-TG
10.052,173684992,2009-01-27,1AM-TG
10.0528,187090374,2009-01-29,1AM-TG
10.0531,187059458,2009-01-30,1AM-TG
10.0541,189139265,2009-02-02,1AM-TG
10.0544,189420608,2009-02-03,1AM-TG
10.0547,189465896,2009-02-04,1AM-TG
10.055,189471649,2009-02-05,1AM-TG
10.0553,186670201,2009-02-06,1AM-TG
10.0565,186812352,2009-02-10,1AM-TG
10.0568,186896908,2009-02-11,1AM-TG
10.057,189910605,2009-02-12,1AM-TG
10.0581,214753535,2009-02-13,1AM-TG
10.0589,215130230,2009-02-16,1AM-TG
10.0591,211184605,2009-02-17,1AM-TG
10.0613,212789656,2009-02-18,1AM-TG
10.0615,212894646,2009-02-19,1AM-TG
10.0618,212889611,2009-02-20,1AM-TG
10.0625,212905237,2009-02-23,1AM-TG
10.0628,212925175,2009-02-24,1AM-TG
10.063,213879928,2009-02-25,1AM-TG
10.0632,213838887,2009-02-26,1AM-TG
10.0635,213893918,2009-02-27,1AM-TG
10.0642,214619683,2009-03-02,1AM-TG
10.0644,215117076,2009-03-03,1AM-TG
10.0647,214998461,2009-03-04,1AM-TG
10.0649,214033887,2009-03-05,1AM-TG
10.0651,218674626,2009-03-06,1AM-TG
10.0657,217116838,2009-03-09,1AM-TG
10.0658,217077303,2009-03-10,1AM-TG
10.066,203552327,2009-03-11,1AM-TG
10.0661,208244127,2009-03-12,1AM-TG
10.0662,208341667,2009-03-13,1AM-TG
10.0666,208349092,2009-03-16,1AM-TG
10.0667,208786622,2009-03-17,1AM-TG
10.0699,208850532,2009-03-18,1AM-TG
10.0739,208933904,2009-03-19,1AM-TG
10.0743,213482863,2009-03-23,1AM-TG
10.0744,213364208,2009-03-24,1AM-TG
10.0745,213360890,2009-03-25,1AM-TG
10.0746,213366559,2009-03-26,1AM-TG
10.0746,210851054,2009-03-27,1AM-TG
10.0748,210703884,2009-03-30,1AM-TG
10.0749,188558049,2009-03-31,1AM-TG
10.075,188559407,2009-04-01,1AM-TG
10.0751,188265161,2009-04-02,1AM-TG
10.0751,187916519,2009-04-03,1AM-TG
10.0755,188922673,2009-04-07,1AM-TG
10.0755,184950766,2009-04-08,1AM-TG
10.0756,185061783,2009-04-09,1AM-TG
10.0758,185124074,2009-04-10,1AM-TG
10.0777,184858443,2009-04-16,1AM-TG
10.0774,184786564,2009-04-17,1AM-TG
10.0774,185840904,2009-04-20,1AM-TG
10.0775,185442536,2009-04-21,1AM-TG
10.0776,185521227,2009-04-22,1AM-TG
10.0775,185544200,2009-04-23,1AM-TG
10.0775,166277118,2009-04-24,1AM-TG
