value,amount,updated,fund_code
9.6504,0,2020-09-08,AIA-ES50
9.6553,0,2020-09-09,AIA-ES50
9.6435,0,2020-09-10,AIA-ES50
9.5646,0,2020-09-11,AIA-ES50
9.5326,0,2020-09-14,AIA-ES50
9.6416,0,2020-09-15,AIA-ES50
9.7133,0,2020-09-16,AIA-ES50
9.6309,183752962,2020-09-17,AIA-ES50
9.6343,191489597,2020-09-18,AIA-ES50
9.5119,193883688,2020-09-21,AIA-ES50
9.4446,197306101,2020-09-22,AIA-ES50
9.3834,201589278,2020-09-23,AIA-ES50
9.2161,203933336,2020-09-24,AIA-ES50
9.2059,203154373,2020-09-25,AIA-ES50
9.3732,216184961,2020-09-28,AIA-ES50
9.318,221407210,2020-09-29,AIA-ES50
9.161,229619766,2020-09-30,AIA-ES50
9.2318,257806554,2020-10-01,AIA-ES50
9.1094,264958534,2020-10-02,AIA-ES50
9.1636,273922220,2020-10-05,AIA-ES50
9.2417,279344577,2020-10-06,AIA-ES50
9.3746,287181640,2020-10-07,AIA-ES50
9.4588,293698589,2020-10-08,AIA-ES50
