value,amount,updated,fund_code
9.519,4988,2020-07-13,KTMEE-SSF
9.4795,4967,2020-07-14,KTMEE-SSF
9.5405,4999,2020-07-15,KTMEE-SSF
9.4927,4974,2020-07-16,KTMEE-SSF
9.5218,4990,2020-07-17,KTMEE-SSF
9.5486,5004,2020-07-20,KTMEE-SSF
9.6413,5052,2020-07-21,KTMEE-SSF
9.6038,5033,2020-07-22,KTMEE-SSF
9.5925,5027,2020-07-23,KTMEE-SSF
9.507,4982,2020-07-24,KTMEE-SSF
9.5493,7013,2020-07-29,KTMEE-SSF
9.5265,9490,2020-07-30,KTMEE-SSF
9.5748,9538,2020-07-31,KTMEE-SSF
9.591,9554,2020-08-03,KTMEE-SSF
9.6367,10605,2020-08-04,KTMEE-SSF
9.6735,10645,2020-08-05,KTMEE-SSF
9.6784,10651,2020-08-06,KTMEE-SSF
9.6409,10609,2020-08-07,KTMEE-SSF
9.5987,10563,2020-08-10,KTMEE-SSF
9.597,11061,2020-08-11,KTMEE-SSF
9.637,11107,2020-08-13,KTMEE-SSF
9.6201,11088,2020-08-14,KTMEE-SSF
9.63,11099,2020-08-17,KTMEE-SSF
9.6803,11157,2020-08-18,KTMEE-SSF
9.6504,11122,2020-08-19,KTMEE-SSF
9.6373,11107,2020-08-20,KTMEE-SSF
9.6591,11132,2020-08-21,KTMEE-SSF
9.6941,11173,2020-08-24,KTMEE-SSF
9.7075,11188,2020-08-25,KTMEE-SSF
9.7464,11233,2020-08-26,KTMEE-SSF
9.7782,11270,2020-08-27,KTMEE-SSF
9.7914,11285,2020-08-28,KTMEE-SSF
9.7875,11280,2020-08-31,KTMEE-SSF
9.8104,26342,2020-09-01,KTMEE-SSF
9.8919,27065,2020-09-02,KTMEE-SSF
9.798,26808,2020-09-03,KTMEE-SSF
9.5788,26208,2020-09-08,KTMEE-SSF
9.5832,26220,2020-09-09,KTMEE-SSF
9.5668,26175,2020-09-10,KTMEE-SSF
9.5553,26144,2020-09-11,KTMEE-SSF
9.5675,26177,2020-09-14,KTMEE-SSF
9.6355,26363,2020-09-15,KTMEE-SSF
9.655,26417,2020-09-16,KTMEE-SSF
9.5994,26265,2020-09-17,KTMEE-SSF
9.5824,26218,2020-09-18,KTMEE-SSF
9.517,26039,2020-09-21,KTMEE-SSF
9.5494,26128,2020-09-22,KTMEE-SSF
9.5335,26084,2020-09-23,KTMEE-SSF
9.4666,25901,2020-09-24,KTMEE-SSF
9.4854,25953,2020-09-25,KTMEE-SSF
9.5702,26185,2020-09-28,KTMEE-SSF
9.5716,26188,2020-09-29,KTMEE-SSF
9.5602,26157,2020-09-30,KTMEE-SSF
9.5935,26248,2020-10-01,KTMEE-SSF
9.5789,26708,2020-10-02,KTMEE-SSF
9.6113,26798,2020-10-05,KTMEE-SSF
9.6077,26788,2020-10-06,KTMEE-SSF
9.6503,26907,2020-10-07,KTMEE-SSF
