value,amount,updated,fund_code
10.0004,114790195,2004-11-23,PHATRA PLUS
10.0014,114801314,2004-11-24,PHATRA PLUS
10.0015,114873130,2004-11-25,PHATRA PLUS
10.002,115048034,2004-11-26,PHATRA PLUS
10.0032,115152745,2004-11-29,PHATRA PLUS
10.0041,120212466,2004-12-01,PHATRA PLUS
10.0045,120527327,2004-12-02,PHATRA PLUS
10.0049,120232073,2004-12-03,PHATRA PLUS
10.0065,120251538,2004-12-07,PHATRA PLUS
10.0069,119956214,2004-12-08,PHATRA PLUS
10.0089,120005752,2004-12-13,PHATRA PLUS
10.0097,120214231,2004-12-14,PHATRA PLUS
10.01,119917825,2004-12-15,PHATRA PLUS
10.01,115914893,2004-12-16,PHATRA PLUS
10.0103,115918673,2004-12-17,PHATRA PLUS
10.0114,115931712,2004-12-20,PHATRA PLUS
10.0122,116940211,2004-12-21,PHATRA PLUS
10.0127,117427866,2004-12-22,PHATRA PLUS
10.0131,127733703,2004-12-23,PHATRA PLUS
10.0137,128540448,2004-12-24,PHATRA PLUS
10.0152,128560697,2004-12-27,PHATRA PLUS
10.0158,128567448,2004-12-28,PHATRA PLUS
10.016,137271173,2004-12-29,PHATRA PLUS
10.0166,148298790,2004-12-30,PHATRA PLUS
10.0191,148336849,2005-01-04,PHATRA PLUS
10.0196,148344456,2005-01-05,PHATRA PLUS
10.02,183472693,2005-01-06,PHATRA PLUS
10.0205,186331616,2005-01-07,PHATRA PLUS
10.022,186358411,2005-01-10,PHATRA PLUS
10.023,186675522,2005-01-12,PHATRA PLUS
10.0239,192713423,2005-01-14,PHATRA PLUS
10.0253,192840201,2005-01-17,PHATRA PLUS
10.0257,194909030,2005-01-18,PHATRA PLUS
10.0262,204917771,2005-01-19,PHATRA PLUS
10.0266,204837190,2005-01-20,PHATRA PLUS
10.0271,205708212,2005-01-21,PHATRA PLUS
10.0286,218739708,2005-01-24,PHATRA PLUS
10.0291,211731496,2005-01-25,PHATRA PLUS
10.0296,212368092,2005-01-26,PHATRA PLUS
10.03,213477280,2005-01-27,PHATRA PLUS
10.0306,162234978,2005-01-28,PHATRA PLUS
10.0321,180301774,2005-01-31,PHATRA PLUS
10.0327,157433943,2005-02-01,PHATRA PLUS
10.0333,157433097,2005-02-02,PHATRA PLUS
10.0339,159432238,2005-02-03,PHATRA PLUS
10.0344,159340510,2005-02-04,PHATRA PLUS
10.036,160816306,2005-02-07,PHATRA PLUS
10.0366,150508037,2005-02-08,PHATRA PLUS
10.0372,150516820,2005-02-09,PHATRA PLUS
10.0378,149887908,2005-02-10,PHATRA PLUS
10.0384,155596680,2005-02-11,PHATRA PLUS
10.0399,163582399,2005-02-14,PHATRA PLUS
10.0405,156663873,2005-02-15,PHATRA PLUS
10.0411,156672948,2005-02-16,PHATRA PLUS
10.0419,155561155,2005-02-18,PHATRA PLUS
10.0436,182890621,2005-02-21,PHATRA PLUS
10.0442,189012661,2005-02-22,PHATRA PLUS
10.0453,189134179,2005-02-24,PHATRA PLUS
10.0458,190353716,2005-02-25,PHATRA PLUS
10.0475,190594381,2005-02-28,PHATRA PLUS
10.048,178583433,2005-03-01,PHATRA PLUS
10.0485,179591169,2005-03-02,PHATRA PLUS
10.049,161624043,2005-03-03,PHATRA PLUS
10.0494,166231115,2005-03-04,PHATRA PLUS
10.0511,174259609,2005-03-07,PHATRA PLUS
10.0516,187269066,2005-03-08,PHATRA PLUS
10.0521,187279431,2005-03-09,PHATRA PLUS
10.0527,198289779,2005-03-10,PHATRA PLUS
10.0532,199200128,2005-03-11,PHATRA PLUS
10.0546,215530566,2005-03-14,PHATRA PLUS
10.055,212624262,2005-03-15,PHATRA PLUS
10.0556,215287276,2005-03-16,PHATRA PLUS
10.0562,218695434,2005-03-17,PHATRA PLUS
10.0567,214377194,2005-03-18,PHATRA PLUS
10.0582,223830602,2005-03-21,PHATRA PLUS
10.0587,225971230,2005-03-22,PHATRA PLUS
10.0592,227964254,2005-03-23,PHATRA PLUS
10.0597,226474674,2005-03-24,PHATRA PLUS
10.0601,241870192,2005-03-25,PHATRA PLUS
10.0614,259462759,2005-03-28,PHATRA PLUS
10.0618,257920115,2005-03-29,PHATRA PLUS
10.0623,258432485,2005-03-30,PHATRA PLUS
10.0627,277424649,2005-03-31,PHATRA PLUS
10.0632,269216939,2005-04-01,PHATRA PLUS
10.0646,272575419,2005-04-04,PHATRA PLUS
10.065,273011094,2005-04-05,PHATRA PLUS
10.0659,272834284,2005-04-07,PHATRA PLUS
10.0665,274049267,2005-04-08,PHATRA PLUS
10.068,275920374,2005-04-11,PHATRA PLUS
10.0685,275914049,2005-04-12,PHATRA PLUS
10.0713,285054852,2005-04-18,PHATRA PLUS
10.0718,267088657,2005-04-19,PHATRA PLUS
10.0723,271783332,2005-04-20,PHATRA PLUS
10.0728,250313986,2005-04-21,PHATRA PLUS
10.0748,246336139,2005-04-25,PHATRA PLUS
10.0753,241532656,2005-04-26,PHATRA PLUS
10.0758,232261504,2005-04-27,PHATRA PLUS
10.0768,228614656,2005-04-29,PHATRA PLUS
10.079,229665174,2005-05-03,PHATRA PLUS
10.0795,214289720,2005-05-04,PHATRA PLUS
10.0806,229312732,2005-05-06,PHATRA PLUS
10.0819,257230890,2005-05-09,PHATRA PLUS
10.0825,248040304,2005-05-10,PHATRA PLUS
10.0838,253997976,2005-05-11,PHATRA PLUS
10.0836,253994994,2005-05-12,PHATRA PLUS
10.0842,244147949,2005-05-13,PHATRA PLUS
10.0859,244489067,2005-05-16,PHATRA PLUS
10.0865,241706714,2005-05-17,PHATRA PLUS
10.087,246523303,2005-05-18,PHATRA PLUS
10.0876,248916729,2005-05-19,PHATRA PLUS
10.0882,249931020,2005-05-20,PHATRA PLUS
10.0903,250979296,2005-05-24,PHATRA PLUS
10.0909,251324983,2005-05-25,PHATRA PLUS
10.0914,259554515,2005-05-26,PHATRA PLUS
10.0919,259458205,2005-05-27,PHATRA PLUS
10.0932,259707356,2005-05-30,PHATRA PLUS
10.0937,196591790,2005-05-31,PHATRA PLUS
10.0941,199850567,2005-06-01,PHATRA PLUS
10.0947,200861731,2005-06-02,PHATRA PLUS
10.0952,200898187,2005-06-03,PHATRA PLUS
10.097,198932624,2005-06-06,PHATRA PLUS
10.0975,200026605,2005-06-07,PHATRA PLUS
10.098,200449298,2005-06-08,PHATRA PLUS
10.0986,215460983,2005-06-09,PHATRA PLUS
10.0991,216880305,2005-06-10,PHATRA PLUS
10.1009,218219227,2005-06-13,PHATRA PLUS
10.1015,206653346,2005-06-14,PHATRA PLUS
10.1021,217268870,2005-06-15,PHATRA PLUS
10.1026,224280484,2005-06-16,PHATRA PLUS
10.1033,220514294,2005-06-17,PHATRA PLUS
10.1049,221370024,2005-06-20,PHATRA PLUS
10.1055,221379358,2005-06-21,PHATRA PLUS
10.1062,224407912,2005-06-22,PHATRA PLUS
10.1067,219396208,2005-06-23,PHATRA PLUS
10.107,223659257,2005-06-24,PHATRA PLUS
10.1084,313241067,2005-06-27,PHATRA PLUS
10.1088,346074603,2005-06-28,PHATRA PLUS
10.1095,384586833,2005-06-29,PHATRA PLUS
10.11,379037459,2005-06-30,PHATRA PLUS
10.112,393154810,2005-07-04,PHATRA PLUS
10.1125,386734893,2005-07-05,PHATRA PLUS
10.113,387928985,2005-07-06,PHATRA PLUS
10.1135,386147377,2005-07-07,PHATRA PLUS
10.1118,387559048,2005-07-08,PHATRA PLUS
10.112,1000738731,2005-07-11,PHATRA PLUS
10.1126,996649117,2005-07-12,PHATRA PLUS
10.1131,997234368,2005-07-13,PHATRA PLUS
10.1137,997242155,2005-07-14,PHATRA PLUS
10.1119,997199513,2005-07-15,PHATRA PLUS
10.1156,997557753,2005-07-18,PHATRA PLUS
10.1159,1000815644,2005-07-19,PHATRA PLUS
10.1163,993557058,2005-07-20,PHATRA PLUS
10.1168,974180366,2005-07-21,PHATRA PLUS
10.1188,973944157,2005-07-25,PHATRA PLUS
10.1197,302352206,2005-07-27,PHATRA PLUS
10.1203,302193921,2005-07-28,PHATRA PLUS
10.1207,297189320,2005-07-29,PHATRA PLUS
10.123,291837346,2005-08-02,PHATRA PLUS
10.1235,300315323,2005-08-03,PHATRA PLUS
10.1241,292841231,2005-08-04,PHATRA PLUS
10.1247,293086434,2005-08-05,PHATRA PLUS
10.1266,293340565,2005-08-08,PHATRA PLUS
10.1272,291154838,2005-08-09,PHATRA PLUS
10.1279,286076064,2005-08-10,PHATRA PLUS
10.1285,284862238,2005-08-11,PHATRA PLUS
10.131,285322715,2005-08-15,PHATRA PLUS
10.1316,287407424,2005-08-16,PHATRA PLUS
10.1323,287425485,2005-08-17,PHATRA PLUS
10.1328,288501419,2005-08-18,PHATRA PLUS
10.1335,338379846,2005-08-19,PHATRA PLUS
10.1352,342037490,2005-08-22,PHATRA PLUS
10.1358,343482514,2005-08-23,PHATRA PLUS
10.1364,343708659,2005-08-24,PHATRA PLUS
10.1369,345082812,2005-08-25,PHATRA PLUS
10.1375,345290533,2005-08-26,PHATRA PLUS
10.1393,345449072,2005-08-29,PHATRA PLUS
10.1399,345706371,2005-08-30,PHATRA PLUS
10.1405,343674084,2005-08-31,PHATRA PLUS
10.1411,343559091,2005-09-01,PHATRA PLUS
10.142,350818050,2005-09-02,PHATRA PLUS
10.1435,353418117,2005-09-05,PHATRA PLUS
10.144,338763290,2005-09-06,PHATRA PLUS
10.1446,294446160,2005-09-07,PHATRA PLUS
10.1452,346542927,2005-09-08,PHATRA PLUS
10.1458,355113816,2005-09-09,PHATRA PLUS
10.1475,364291645,2005-09-12,PHATRA PLUS
10.148,363061857,2005-09-13,PHATRA PLUS
10.1486,431374165,2005-09-14,PHATRA PLUS
10.1492,441266418,2005-09-15,PHATRA PLUS
10.1497,446867521,2005-09-16,PHATRA PLUS
10.1514,442825019,2005-09-19,PHATRA PLUS
10.152,438337127,2005-09-20,PHATRA PLUS
10.1525,436709287,2005-09-21,PHATRA PLUS
10.1531,390158903,2005-09-22,PHATRA PLUS
10.1537,376531052,2005-09-23,PHATRA PLUS
10.1555,376558214,2005-09-26,PHATRA PLUS
10.1561,364472969,2005-09-27,PHATRA PLUS
10.1568,314688484,2005-09-28,PHATRA PLUS
10.1575,311190466,2005-09-29,PHATRA PLUS
10.1581,321180462,2005-09-30,PHATRA PLUS
10.1601,321241401,2005-10-03,PHATRA PLUS
10.1607,326403943,2005-10-04,PHATRA PLUS
