value,amount,updated,fund_code
10.0,0,2008-03-13,T-MONEY
10.0115,0,2008-03-27,T-MONEY
10.0123,0,2008-03-28,T-MONEY
10.0148,159070772,2008-03-31,T-MONEY
10.0155,159070772,2008-04-01,T-MONEY
10.0163,159070772,2008-04-02,T-MONEY
10.0171,159070772,2008-04-03,T-MONEY
10.0179,159070772,2008-04-04,T-MONEY
10.0206,159070772,2008-04-08,T-MONEY
10.0214,159070772,2008-04-09,T-MONEY
10.0223,0,2008-04-10,T-MONEY
10.0232,0,2008-04-11,T-MONEY
10.0267,0,2008-04-16,T-MONEY
10.0276,0,2008-04-17,T-MONEY
10.0284,0,2008-04-18,T-MONEY
10.0305,0,2008-04-21,T-MONEY
10.0314,0,2008-04-22,T-MONEY
10.0321,0,2008-04-23,T-MONEY
10.0329,0,2008-04-24,T-MONEY
10.0335,1108193627,2008-04-25,T-MONEY
10.0356,1314754687,2008-04-28,T-MONEY
10.0363,1388353619,2008-04-29,T-MONEY
10.0371,1469446660,2008-04-30,T-MONEY
10.0381,2393638269,2008-05-02,T-MONEY
10.0412,2572201489,2008-05-06,T-MONEY
10.042,2743808938,2008-05-07,T-MONEY
10.0428,3085857412,2008-05-08,T-MONEY
10.0436,3160695876,2008-05-09,T-MONEY
10.0458,3272359722,2008-05-12,T-MONEY
10.0466,3596561947,2008-05-13,T-MONEY
10.0473,3709022320,2008-05-14,T-MONEY
10.048,3782230434,2008-05-15,T-MONEY
10.0489,3996238095,2008-05-16,T-MONEY
10.0518,3915325188,2008-05-20,T-MONEY
10.0525,3675744698,2008-05-21,T-MONEY
10.0532,3631156904,2008-05-22,T-MONEY
10.054,3709161889,2008-05-23,T-MONEY
10.0563,3563320713,2008-05-26,T-MONEY
10.0569,3536497591,2008-05-27,T-MONEY
10.0577,3563688498,2008-05-28,T-MONEY
10.0584,3662006887,2008-05-29,T-MONEY
10.0592,3762763461,2008-05-30,T-MONEY
10.0615,3879848520,2008-06-02,T-MONEY
10.0623,3986585374,2008-06-03,T-MONEY
10.0631,4034583837,2008-06-04,T-MONEY
10.0639,4103767852,2008-06-05,T-MONEY
10.0646,4420604647,2008-06-06,T-MONEY
10.0667,4660717646,2008-06-09,T-MONEY
10.0675,4840901635,2008-06-10,T-MONEY
10.0683,4866202952,2008-06-11,T-MONEY
10.0691,4920759566,2008-06-12,T-MONEY
10.0698,5126459336,2008-06-13,T-MONEY
10.0721,5246267628,2008-06-16,T-MONEY
10.0728,5294479398,2008-06-17,T-MONEY
10.0736,5347472636,2008-06-18,T-MONEY
10.0743,5832506514,2008-06-19,T-MONEY
10.075,5818294648,2008-06-20,T-MONEY
10.0773,5929487235,2008-06-23,T-MONEY
10.078,5985690900,2008-06-24,T-MONEY
10.0788,6042943246,2008-06-25,T-MONEY
10.0796,5642310673,2008-06-26,T-MONEY
10.0804,5530193630,2008-06-27,T-MONEY
10.0827,5334983707,2008-06-30,T-MONEY
10.0842,5431428027,2008-07-02,T-MONEY
10.085,5410462055,2008-07-03,T-MONEY
10.0858,5390902190,2008-07-04,T-MONEY
10.088,5402096604,2008-07-07,T-MONEY
10.0888,5391124204,2008-07-08,T-MONEY
10.0896,5327487012,2008-07-09,T-MONEY
10.0903,5275664764,2008-07-10,T-MONEY
10.0911,5226790088,2008-07-11,T-MONEY
10.0934,5242917052,2008-07-14,T-MONEY
10.0941,5245900483,2008-07-15,T-MONEY
10.0949,5279223140,2008-07-16,T-MONEY
10.0965,5377913267,2008-07-18,T-MONEY
10.0988,5339863291,2008-07-21,T-MONEY
