value,amount,updated,fund_code
5.8525,0,2007-09-04,TDEX
5.8906,0,2007-09-05,TDEX
5.8581,0,2007-09-06,TDEX
5.7927,0,2007-09-07,TDEX
5.7549,0,2007-09-10,TDEX
5.7971,0,2007-09-11,TDEX
5.7979,0,2007-09-12,TDEX
5.8393,0,2007-09-13,TDEX
5.8812,0,2007-09-14,TDEX
5.817,0,2007-09-17,TDEX
5.8143,0,2007-09-18,TDEX
5.9029,0,2007-09-19,TDEX
5.9357,0,2007-09-20,TDEX
6.0784,0,2007-09-21,TDEX
6.12,0,2007-09-24,TDEX
6.1088,0,2007-09-25,TDEX
6.1864,0,2007-09-26,TDEX
6.1751,0,2007-09-27,TDEX
6.1952,0,2007-09-28,TDEX
6.2533,0,2007-10-01,TDEX
6.2544,0,2007-10-02,TDEX
6.223,0,2007-10-03,TDEX
6.2072,0,2007-10-04,TDEX
6.2342,0,2007-10-05,TDEX
6.3292,0,2007-10-08,TDEX
6.372,0,2007-10-09,TDEX
6.4283,0,2007-10-10,TDEX
6.5593,0,2007-10-11,TDEX
6.5499,0,2007-10-12,TDEX
6.6512,0,2007-10-15,TDEX
6.6407,0,2007-10-16,TDEX
6.5535,0,2007-10-17,TDEX
6.4812,0,2007-10-18,TDEX
6.4801,0,2007-10-19,TDEX
6.3448,0,2007-10-22,TDEX
6.3448,0,2007-10-23,TDEX
6.397,0,2007-10-24,TDEX
6.6464,0,2007-10-25,TDEX
6.6623,0,2007-10-26,TDEX
6.8513,0,2007-10-29,TDEX
6.7697,0,2007-10-30,TDEX
6.7609,0,2007-10-31,TDEX
6.725,0,2007-11-01,TDEX
6.6515,0,2007-11-02,TDEX
6.4626,0,2007-11-05,TDEX
6.5873,0,2007-11-06,TDEX
6.5317,0,2007-11-07,TDEX
6.4796,0,2007-11-08,TDEX
6.4816,0,2007-11-09,TDEX
6.3735,0,2007-11-12,TDEX
6.3325,0,2007-11-13,TDEX
6.3641,0,2007-11-14,TDEX
6.3084,0,2007-11-15,TDEX
6.2502,0,2007-11-16,TDEX
6.0941,0,2007-11-19,TDEX
6.0921,0,2007-11-20,TDEX
5.9041,0,2007-11-21,TDEX
5.9287,0,2007-11-22,TDEX
6.0634,0,2007-11-23,TDEX
6.138,0,2007-11-26,TDEX
6.0539,0,2007-11-27,TDEX
6.248,0,2007-11-29,TDEX
6.2593,0,2007-11-30,TDEX
6.1236,0,2007-12-03,TDEX
6.144,0,2007-12-04,TDEX
6.144,0,2007-12-05,TDEX
6.2413,0,2007-12-06,TDEX
6.2007,0,2007-12-07,TDEX
6.2007,0,2007-12-10,TDEX
6.2021,0,2007-12-11,TDEX
6.1481,0,2007-12-12,TDEX
6.1503,0,2007-12-13,TDEX
6.1758,0,2007-12-14,TDEX
6.0181,0,2007-12-17,TDEX
5.9873,0,2007-12-18,TDEX
5.7908,0,2007-12-20,TDEX
5.9817,0,2007-12-21,TDEX
5.9817,0,2007-12-24,TDEX
6.2368,0,2007-12-25,TDEX
6.2141,0,2007-12-26,TDEX
6.3027,0,2007-12-27,TDEX
6.3397,0,2007-12-28,TDEX
6.3395,0,2007-12-31,TDEX
6.2203,0,2008-01-02,TDEX
6.1382,0,2008-01-03,TDEX
6.0321,0,2008-01-04,TDEX
5.9153,0,2008-01-07,TDEX
5.951,0,2008-01-08,TDEX
6.0394,0,2008-01-09,TDEX
5.8553,0,2008-01-10,TDEX
5.821,0,2008-01-11,TDEX
5.782,0,2008-01-14,TDEX
5.6795,0,2008-01-15,TDEX
5.639,0,2008-01-16,TDEX
5.7649,0,2008-01-18,TDEX
5.5584,0,2008-01-21,TDEX
5.3636,0,2008-01-22,TDEX
5.361,0,2008-01-23,TDEX
5.2595,0,2008-01-24,TDEX
5.5242,0,2008-01-25,TDEX
5.3859,0,2008-01-28,TDEX
5.4777,0,2008-01-29,TDEX
5.5496,0,2008-01-30,TDEX
5.7231,3033292712,2008-01-31,TDEX
5.9376,3033292712,2008-02-01,TDEX
5.9287,3033292712,2008-02-04,TDEX
5.8996,3033292712,2008-02-05,TDEX
5.7795,3033292712,2008-02-06,TDEX
5.7571,3033292712,2008-02-07,TDEX
5.865,3033292712,2008-02-08,TDEX
5.8416,0,2008-02-11,TDEX
5.9449,0,2008-02-12,TDEX
6.0434,0,2008-02-13,TDEX
6.0651,0,2008-02-14,TDEX
6.0327,0,2008-02-15,TDEX
6.0099,0,2008-02-18,TDEX
6.1044,0,2008-02-19,TDEX
6.04,0,2008-02-20,TDEX
6.04,0,2008-02-21,TDEX
6.0293,0,2008-02-22,TDEX
6.1283,0,2008-02-25,TDEX
6.0977,0,2008-02-26,TDEX
6.075,0,2008-02-27,TDEX
6.1642,0,2008-02-28,TDEX
6.1959,3036021041,2008-02-29,TDEX
6.1595,3036021041,2008-03-03,TDEX
6.0637,3036021041,2008-03-04,TDEX
6.005,3036021041,2008-03-05,TDEX
5.9824,3036021041,2008-03-07,TDEX
5.8722,0,2008-03-10,TDEX
6.0004,0,2008-03-11,TDEX
6.0584,0,2008-03-12,TDEX
5.9536,0,2008-03-13,TDEX
5.9867,0,2008-03-14,TDEX
5.9053,0,2008-03-17,TDEX
5.9752,0,2008-03-18,TDEX
5.9396,0,2008-03-19,TDEX
5.8531,2914850248,2008-03-20,TDEX
5.8859,2931210279,2008-03-21,TDEX
5.9231,2949749130,2008-03-24,TDEX
6.0287,3002333934,2008-03-25,TDEX
6.0029,2989466936,2008-03-26,TDEX
6.0441,3010001580,2008-03-27,TDEX
6.0649,3020328279,2008-03-28,TDEX
5.9974,2986714115,2008-03-31,TDEX
6.0559,3015874840,2008-04-01,TDEX
6.0661,3020934443,2008-04-02,TDEX
5.9355,2955908934,2008-04-03,TDEX
5.9206,3019531822,2008-04-04,TDEX
5.9206,3019531822,2008-04-07,TDEX
5.9421,3066148911,2008-04-08,TDEX
5.9073,3249054396,2008-04-10,TDEX
5.9577,3276776972,2008-04-11,TDEX
5.9577,3276776972,2008-04-14,TDEX
5.9577,3276776972,2008-04-15,TDEX
6.023,3312681677,2008-04-16,TDEX
6.1187,3365289667,2008-04-18,TDEX
6.083,3321328673,2008-04-21,TDEX
6.1622,3352263202,2008-04-22,TDEX
6.0563,3294642470,2008-04-23,TDEX
6.0314,3269028915,2008-04-24,TDEX
6.0124,3258719220,2008-04-25,TDEX
6.0562,3270375096,2008-04-28,TDEX
6.026,3278153642,2008-04-30,TDEX
6.026,3278153642,2008-05-01,TDEX
6.1073,3322405406,2008-05-02,TDEX
6.1073,3322405406,2008-05-05,TDEX
6.1409,3340673005,2008-05-06,TDEX
6.1666,3354669091,2008-05-07,TDEX
6.1932,3369104550,2008-05-08,TDEX
6.1632,3352819237,2008-05-09,TDEX
6.1214,3330064965,2008-05-12,TDEX
6.0926,3314419360,2008-05-13,TDEX
6.1676,3355188008,2008-05-14,TDEX
6.2177,3382470650,2008-05-15,TDEX
6.3436,3450969433,2008-05-16,TDEX
6.3717,3466204603,2008-05-20,TDEX
6.3691,3464801184,2008-05-22,TDEX
6.3575,3560241690,2008-05-23,TDEX
6.2123,3441611789,2008-05-26,TDEX
6.2002,3360521350,2008-05-27,TDEX
6.0183,3261946199,2008-05-28,TDEX
6.0162,3320959237,2008-05-29,TDEX
6.0183,3346209320,2008-05-30,TDEX
5.8085,3299273509,2008-06-03,TDEX
5.8217,3364946246,2008-06-04,TDEX
5.8312,3463761819,2008-06-05,TDEX
5.8922,3664974377,2008-06-06,TDEX
5.8009,3666183466,2008-06-09,TDEX
5.7009,3659989467,2008-06-10,TDEX
5.7014,3660351693,2008-06-11,TDEX
5.7005,3659744289,2008-06-12,TDEX
5.6331,3571412026,2008-06-13,TDEX
5.671,3561421633,2008-06-16,TDEX
5.588,3520444609,2008-06-17,TDEX
5.5005,3476347324,2008-06-18,TDEX
5.3255,3397665848,2008-06-19,TDEX
5.5445,3592851655,2008-06-20,TDEX
5.534,3619263424,2008-06-23,TDEX
5.4894,3633991626,2008-06-24,TDEX
5.6051,3789092490,2008-06-25,TDEX
5.5733,3812148195,2008-06-26,TDEX
5.58939,3819448210,2008-06-27,TDEX
5.4531,3729983740,2008-07-02,TDEX
