value,amount,updated,fund_code
9.995,4260877,2014-05-21,TMBEGRMF
10.0462,4282703,2014-05-22,TMBEGRMF
10.0165,4270074,2014-05-23,TMBEGRMF
10.0414,4280669,2014-05-26,TMBEGRMF
10.065,6026617,2014-05-27,TMBEGRMF
10.0854,6536302,2014-05-28,TMBEGRMF
10.0812,8352648,2014-05-29,TMBEGRMF
10.1133,8379252,2014-05-30,TMBEGRMF
10.068,8624062,2014-06-03,TMBEGRMF
10.0955,8891054,2014-06-04,TMBEGRMF
10.1148,9108192,2014-06-05,TMBEGRMF
10.2087,9208080,2014-06-06,TMBEGRMF
10.2077,9292921,2014-06-09,TMBEGRMF
10.2332,9316163,2014-06-10,TMBEGRMF
10.2093,10738600,2014-06-11,TMBEGRMF
10.269,11149885,2014-06-12,TMBEGRMF
10.2327,11580677,2014-06-13,TMBEGRMF
10.17,12197001,2014-06-16,TMBEGRMF
10.1832,13321794,2014-06-17,TMBEGRMF
10.1768,13353366,2014-06-18,TMBEGRMF
10.2291,13603175,2014-06-19,TMBEGRMF
10.2332,15021155,2014-06-20,TMBEGRMF
10.1788,16169733,2014-06-23,TMBEGRMF
10.1127,16064678,2014-06-24,TMBEGRMF
10.0268,16506376,2014-06-25,TMBEGRMF
10.047,16938096,2014-06-26,TMBEGRMF
10.0645,18445245,2014-06-27,TMBEGRMF
10.1235,18574468,2014-06-30,TMBEGRMF
10.1558,18761192,2014-07-02,TMBEGRMF
10.2724,18896899,2014-07-03,TMBEGRMF
10.2391,19343873,2014-07-04,TMBEGRMF
10.1394,19447564,2014-07-07,TMBEGRMF
10.0037,19966332,2014-07-08,TMBEGRMF
9.9877,20341420,2014-07-09,TMBEGRMF
9.8087,20026943,2014-07-10,TMBEGRMF
9.8925,20255555,2014-07-14,TMBEGRMF
9.9655,20943724,2014-07-16,TMBEGRMF
9.9348,21018565,2014-07-17,TMBEGRMF
9.8958,21995935,2014-07-18,TMBEGRMF
9.8956,22296354,2014-07-22,TMBEGRMF
9.9309,23439560,2014-07-23,TMBEGRMF
9.9515,23558421,2014-07-24,TMBEGRMF
9.8948,23583617,2014-07-25,TMBEGRMF
9.8478,23824191,2014-07-28,TMBEGRMF
9.8897,24078571,2014-07-29,TMBEGRMF
9.8124,23941688,2014-07-30,TMBEGRMF
9.6842,21659476,2014-07-31,TMBEGRMF
9.5879,21943592,2014-08-01,TMBEGRMF
9.5545,21965450,2014-08-04,TMBEGRMF
9.5408,21992746,2014-08-05,TMBEGRMF
9.4914,21646233,2014-08-06,TMBEGRMF
9.4212,21508955,2014-08-07,TMBEGRMF
9.3519,21484654,2014-08-08,TMBEGRMF
9.4353,22760363,2014-08-13,TMBEGRMF
9.506,23057298,2014-08-14,TMBEGRMF
9.4833,23164167,2014-08-15,TMBEGRMF
9.5531,23334762,2014-08-18,TMBEGRMF
9.5802,23632003,2014-08-19,TMBEGRMF
9.5536,24730438,2014-08-20,TMBEGRMF
9.6049,24465135,2014-08-21,TMBEGRMF
9.5847,24724161,2014-08-22,TMBEGRMF
9.7112,25117970,2014-08-26,TMBEGRMF
9.7273,25185392,2014-08-27,TMBEGRMF
9.6376,24962987,2014-08-28,TMBEGRMF
9.6689,25059019,2014-08-29,TMBEGRMF
9.6894,25057434,2014-09-01,TMBEGRMF
9.7362,25286371,2014-09-03,TMBEGRMF
9.8681,26489565,2014-09-04,TMBEGRMF
9.834,26408162,2014-09-05,TMBEGRMF
9.7662,26328211,2014-09-08,TMBEGRMF
9.7476,26229285,2014-09-09,TMBEGRMF
9.7406,26210610,2014-09-10,TMBEGRMF
9.7208,23962443,2014-09-12,TMBEGRMF
9.6975,23927501,2014-09-15,TMBEGRMF
9.665,23847756,2014-09-16,TMBEGRMF
9.723,24064073,2014-09-17,TMBEGRMF
9.7421,24136391,2014-09-18,TMBEGRMF
